"","Variable","M","SD","1","2"
"1","1. aff_sc","2.44","0.97"," "," "
"2"," "," "," "," "," "
"3","2. conc_sc","5.01","1.31","-.37**"," "
"4"," "," "," ","[-.51, -.22]"," "
"5"," "," "," "," "," "
"6","3. perf_sc","4.38","1.42",".36**","-.19*"
"7"," "," "," ","[.20, .50]","[-.35, -.02]"
"8"," "," "," "," "," "
